id,English,Hebrew
1152,widespread,נפוץ
1153,wild,פראי טבע
1154,wilderness,ערבה שממה
1155,wool,צמר
1156,abandon,לנטוש לזנוח
1157,abduct,חטיפה לחטוף
1158,abide,לציית
1159,absence,מחסור
1160,absent,חסר לא נוכח
1161,absorb,לספוג
1162,abundance,שפע
1163,abuse,התעללות ניצול
1164,abuse,להתעלל לנצל
1165,accumulate,לצבור לאסוף
1166,acquire,לרכוש להשיג
1167,acquisition,רכישה
1168,adopt,לאמץ
1169,adventure,הרפתקה
1170,affect,להשפיע
1171,affection,חיבה
1172,affluence,שפע
1173,affluent,שופע עשיר
1174,aid,עזרה לסייע
1175,airborne,נישא באוויר
1176,airline,חברת תעופה
1177,airplane,אווירון מטוס
1178,alike,דומה
1179,allow,להרשות
1180,ally (allies),בן ברית (בנות ברית)
1181,alter,שינה  לשנות
1182,alterations,שינויים
1183,alternately,לסירוגין
1184,amateur,חובבן
1185,amend,תיקון שינוי לטובה
1186,analyze,לנתח
1187,anticipate,לצפות
1188,anxious,להוט
1189,anxious,חרד
1190,apparent,גלוי
1191,apparently,כנראה
1192,apply,לפנות
1193,appreciate,עליה בערך
1194,appreciation,הערכה
1195,appropriately,בהתאם
1196,arise,להופיע לעלות
1197,arise arose,לקום קם
1198,artificial,מלאכותי
1199,aside,במאמר מוסגר מלבד
1200,aside,הצידה
1201,assess,להעריך לאמוד
1202,asset,נכס
1203,assign,למנות להקצות
1204,assignment,משימה מטלה
1205,attain,להשיג להגיע
1206,attend,להשתתף להיות נוכח
1207,attendant,משרת מטפל מלווה
1208,authority,סמכות
1209,authorize,להרשות להסמיך
1210,autumn,סתיו
1211,await,להמתין
1212,awareness,מודעות
1213,bare,חשוף ריק לחשוף
1214,behave,להתנהג
1215,behavior,התנהגות
1216,bounce,לקפץ ניתור
1217,brilliant,מבריק
1218,burden,עול
1219,bush,שיח
1220,bush,ערבה
1221,cable,כבל
1222,calculate,לחשב
1223,calculator,מחשבון
1224,campaign,מערכה מסע
1225,candid,כנה ישיר
1226,candidate,מועמד
1227,case,מקרה טיעון
1228,case,תיבה
1229,categorize,לקטלג למיין לסווג
1230,cautious,זהיר
1231,century,מאה שנים
1232,charge,להאשים
1233,charge,לחייב
1234,charge,להסתער
1235,charge,לגבות
1236,charge,להאשים
1237,chart,גיליון תרשים
1238,claim,טענה טוען
1239,claim,תביעה
1240,coincide,להקביל לחפוף
1241,colossal,עצום
1242,commence,להתחיל
1243,compress,לדחוס
1244,comprise,לכלול
1245,concept,רעיון מושג
1246,conception,תפיסה
1247,confer,להתייעץ
1248,confer,להעניק להסביר
1249,conference,ועידה
1250,confide,לשתף לספר (סוד)
1251,confident,בטוח בעצמו
1252,conflict,עימות סכסוך
1253,conjecture,סברה לשער
1254,connect,לחבר
1255,consequence,תוצאה
1256,consider,לקחת בחשבון לשקול
1257,considerable,הרבה רבות
1258,consume,לצרוך
1259,consumers,צרכנים
1260,contain,להכיל מכיל
1261,contemporary,עכשווי
1262,convenient,נוח
1263,conveniently,באופן נח
1264,convention,ועידה כנס
1265,convention,מוסכמה
1266,conventional,שגרתי קונבנציונאלי
1267,convert,מומר
1268,convert,להמיר
1269,convey,למסור להעביר
1270,courageous,אמיץ
1271,create,ליצור
1272,creator,יוצר
1273,creature,יצור
1274,currency,מטבע
1275,custom,מנהג
1276,custom,מותאם אישית
1277,customer,לקוח צרכן
1278,customize,להתאים באופן אישי
1279,damage,נזק לגרום נזק
1280,decade,עשור
1281,defeat,תבוסה
1282,defeated,הובס
1283,defend,להגן
1284,defense,הגנה
1285,deficiency,מחסור
1286,deliver,לשלוח
1287,delivery,משלוח
1288,demographic,דמוגרפי
1289,demonstrate,להפגין
1290,demonstrate,להדגים
1291,destination,יעד
1292,detach,להתנתק
1293,deteriorate,להידרדר
1294,diagnose,לאבחן
1295,director,מנהל
1296,director,במאי
1297,discriminate,להפלות
1298,dismiss,לבטל לפטר לשחרר
1299,disposable,חד פעמי
1300,disrupt,להפריע לשבש
1301,distribute,להפיץ
1302,distribution,הפצה
1303,document,לתעד
1304,document,מסמך
1305,duty,תפקיד חובה
1306,earn,להרוויח
1307,economy,כלכלה
1308,edge,קצה חספוס
1309,elaborate,לפרט להרחיב
1310,elect,לבחור
1311,emerge,להגיח להופיע
1312,emigrate,להגר
1313,eminent,בולט בכיר
1314,enclose,לצרף
1315,enlarge,להגדיל
1316,ensure,להבטיח
1317,environment,סביבה
1318,epidemic,מגיפה אפידמיה
1319,equivalent,מקבילה
1320,erase,למחוק
1321,eraser,מחק
1322,establish,לייסד
1323,estimate,להעריך לאמוד
1324,ethical,אתי מוסרי
1325,evade,התחמק
1326,evidence,ראיה
1327,exception,יוצא מהכלל
1328,execute,להוציא לפועל
1329,execute,להוציא להורג
1330,facility,מתקן
1331,fail,להיכשל
1332,failure,כשלון
1333,faith,אמון
1334,fall,סתיו
1335,feature,להציג
1336,feature,סרט באורך מלא
1337,feature,תכונה מאפיין
1338,flourish,לשגשג לפרוח
1339,follow,לעקוב לציית
1340,for the sake of,למען
1341,force,לכפות
1342,force,כוח
1343,forsake,לזנוח
1344,found,מצא גילה
1345,found,לייסד
1346,foundation,יסוד
1347,function,תפקוד לתפקד
1348,future,עתיד
1349,gather,אסף
1350,global,עולמי גלובאלי
1351,goal,מטרה
1352,goods,סחורה טובין
1353,grasp,לתפוס להבין
1354,grasp,אחיזה
1355,group,קבוצה לקבץ
1356,hardly,בקושי
1357,hesitate,להסס
1358,hold back,לעכב למנוע
1359,homeland,מולדת
1360,honest,הגון
1361,honor,לכבד כבוד
1362,huge,עצום ענק
1363,idea,רעיון
1364,identify,לזהות
1365,illegal,לא חוקי
1366,image,דמות תמונה
1367,imagination,דמיון
1368,imagine,לדמיין
1369,impair,לפגום להחליש
1370,impart,להעביר להקנות
1371,impartially,באופן הוגן ללא אפליה
1372,import,לייבא
1373,impose,לכפות
1374,impossible,בלתי אפשר
1375,imprisoned,כלוא
1376,improve,לשפר
1377,improvise,לאלתר
1378,in order,תקין מסודר
1379,increase,להגדיל להגביר
1380,incredible,מדהים
1381,individual,יחיד אינדיבידואל
1382,industry,תעשייה
1383,inferred,נגזר משתמע
1384,inform,להודיע לעדכן
1385,information,מידע
1386,innovate,לחדש להמציא
1387,intention,כוונה
1388,intentional,מכוון
1389,interact,לתקשר להשפיע
1390,interest,עניין
1391,interest,ריבית
1392,internal,פנימי
1393,interpretation,פרשנות
1394,involve,לערב
1395,isolate,לבודד
1396,judgment,שיפוט
1397,know knew,לדעת ידע
1398,knowledge,ֶיַדע
1399,known,ידוע
1400,laid,מונח
1401,lane,מסלול
1402,launch,לשגר להוציא לדרך
1403,launch,להשיק להתחיל
1404,limit,גבול לשים גבול מוגבל
1405,limitation,מגבלה
1406,lobby,לובי מבואה
1407,lobby,לשדל
1408,mammal,יונק
1409,moderate,לתווך לפשר
1410,moderate,מתון
1411,modernize,להפוך למודרני
1412,mold,עובש
1413,mold,לעצב
1414,motivate,לדרבן
1415,negate,לשלול
1416,neutral,ניטרלי
1417,numerous,מרובה
1418,nutrition,תזונה
1419,object,להתנגד
1420,object,פריט אובייקט
1421,obtain,להשיג
1422,operate,לנתח
1423,operate,לפעול להפעיל לתפעל
1424,operation,מבצע פעולה
1425,operation,ניתוח
1426,opposition,אופוזיציה התנגדות
1427,ordinary,רגיל
1428,organ,אורגן (כלי נגינה)
1429,organ,איבר
1430,organization,ארגון
1431,organize,לארגן
1432,outbreak,התפרצות
1433,overdo,להפריז להגזים
1434,overdue,שעבר זמן ההגשה שלו
1435,pace,קצב
1436,pair,זוג
1437,parent,הורה
1438,parenting,הורות
1439,participate,השתתף
1440,particular,מיוחד לא רגיל
1441,particulars,פריטים
1442,pause,הפסקה להפסיק
1443,persist,להתמיד להתעקש
1444,person,אדם
1445,personal,אישי
1446,personality,אישיות
1447,phase,שלב דרגה
1448,phenomenon,תופעה
1449,pioneer,חלוץ
1450,position,מיקום למקם
1451,position,תנוחה
1452,position,תפקיד משרה
1453,possible,אפשרי
1454,poverty,עוני
1455,poverty-stricken,מוכה עוני
1456,precedent,תקדים
1457,preceding,קודם
1458,predecessors,קודמים
1459,predestined,נקבע מראש
1460,predict,לצפות מראש
1461,prediction,חיזוי ניבוי
1462,predictive,נבואי
1463,premature,מוקדם מדי
1464,private,פרטי
1465,produce,לייצר
1466,produce,תוצר ירקות ופירות
1467,product,מוצר
1468,profession,מקצוע
1469,professional,מקצועי
1470,profound,מעמיק
1471,profound,מוחלט מאוד
1472,profoundly,עמוקות
1473,promise,הבטחה להבטיח
1474,property,רכוש
1475,property,תכונה
1476,protest,למחות הפגנה
1477,prove,להוכיח
1478,public,ציבורי
1479,race,מרוץ
1480,race,גזע
1481,rail,מעקה מסילה
1482,railroad,מסילת רכבת
1483,random,מקרי אקראי
1484,randomly,באקראיות
1485,reaction,תגובה
1486,reasonable,הגיוני
1487,reconstruct,לשחזר
1488,refute,להפריך
1489,regain,להשיג מחדש
1490,regard,להתייחס להחשיב
1491,relate,להתייחס לקשר
1492,release,לשחרר
1493,relevant,רלוונטי קשור
1494,relocate,למקם מחדש
1495,reluctant,מסויג לא מעוניין
1496,rely,להסתמך
1497,remote,מרוחק
1498,report,דיווח לדווח
1499,reporter,עיתונאי
1500,request,בקשה לבקש
1501,require,לדרוש דרישה
1502,restore,לשקם לשחזר
1503,resume,להמשיך
1504,resumption,חידוש
1505,rule,כלל חוק שלטון
1506,rule,לשלוט לפסוק להחליט
1507,ruler,סרגל
1508,ruler,מושל שליט
1509,season,לתבל
1510,season,עונה
1511,secure,להבטיח לשמור להגן
1512,selective,סלקטיבי
1513,service,שירות
1514,share,מניה
1515,share,לחלוק
1516,ship,אוניה
1517,ship,לשלוח
1518,shipment,משלוח
1519,significance,משמעות חשיבות
1520,significant,משמעותי
1521,simulate,לדמות לחקות
1522,size,גודל
1523,soar,להמריא
1524,soil,לכלוך
1525,soil,אדמה
1526,solicit /,לבקש/לחפש בתחינה
1527,solicit  /,לשדל / להדיח
1528,solitude,בדידות
1529,solution,פתרון
1530,sort,למיין
1531,source,מקור
1532,span,להימתח להקיף
1533,span,מרווח
1534,splendid,נהדר מהולל
1535,spring,מעיין
1536,spring,אביב
1537,spring sprang,קפיץ  לקפוץ קפץ
1538,stability,יציבות
1539,stamina,כושר עמידה סיבולת
1540,standard,רמה תקן מקובל
1541,state,מצב
1542,state,מדינה
1543,statement,הצהרה
1544,steady,קבוע יציב
1545,stimulate,לעורר להמריץ
1546,stock,מלאי
1547,stock,לאחסן
1548,stock,מניה
1549,strange,מוזר
1550,strive,לשאוף
1551,successor,יורש
1552,summer,קיץ
1553,superior,עליון
1554,supervise,לפקח
1555,support,תמיכה לתמוך
1556,supportive,תומך
1557,survey,לבחון לסקור
1558,survey,סקר
1559,survive,לשרוד
1560,swift,מהיר
1561,temporary,זמני
1562,thick,סמיך
1563,thick,עבה
1564,thrive,לשגשג
1565,tradition,מסורת
1566,traffic,תנועה
1567,traffic jam,פקק תנועה
1568,transfer,להעביר
1569,transfer,העברה
1570,tribe,שבט
1571,unaware,לא מודע
1572,uncertain,לא בטוח
1573,unclear,לא ברור
1574,uncover,לחשוף לגלות
1575,unfold,לפתוח קיפול
1576,unfold,נפרש נפתח התגלה
1577,unit,יחידה
1578,unstable,לא יציב
1579,update,עדכון לעדכן
1580,upgrade,לשדרג
1581,valid,תקף
1582,validate,אימת נתן תוקף
1583,violence,אלימות
1584,violent,אלים
1585,widely,בצורה נרחבת
1586,widen,להרחיב
1587,winter,חורף
1588,admirable,נערץ ראוי להערצה
1589,admire,להעריץ
1590,adore,העריץ אהב
1591,adverse,שלילי
1592,analog,אנלוגי (ההיפך מדיגיטלי)
1593,analogy,אנלוגיה הקבלה
1594,ancestor,אב קדמון
1595,ancestry,מוצא
1596,ancient,קדום עתיק
1597,assemble,להרכיב להתאסף
1598,assist,לעזור לסייע
1599,astonishment,תדהמה השתאות
1600,astound,להדהים
1601,at your disposal,לרשותך
1602,author,סופר מחבר
1603,avert,להסיט להפנות למנוע
1604,background,רקע
1605,benefactors,נדבנים תורמים
1606,beneficial,מועיל רווחי
1607,bold,אמיץ חצוף
1608,bold,מודגש
1609,botanist,בוטנאי
1610,boundary,גבול
1611,branch,ענף סניף
1612,broaden,להרחיב
1613,canal,תעלה
1614,cast,להשליך לגרש
1615,cast,צוות שחקנים
1616,caste,מעמד חברתי
1617,castle,טירה
1618,casual,אגבי רגיל יומיומי
1619,chief,ראשי בכיר מנהיג
1620,chief ',צ'יף
1621,citizen,אזרחים
1622,clarify,להבהיר
1623,climate,אקלים
1624,coast,חוף
1625,coastline,קו/רצועת חוף
1626,coat,מעיל
1627,coat,שכבה (של צבע בטון וכו')
1628,coexistence,דו קיום
1629,collaborate,לשתף פעולה
1630,collapse,להתמוטט
1631,column,עמוד
1632,column,טור
1633,comfort,נחמה
1634,comfortable,נוח
1635,commerce,מסחר
1636,commercial,מסחרי
1637,commercial,סרטון פרסומת
1638,commit /,ביצוע/ לבצע
1639,commit,להתחייב
1640,committee,ועדה
1641,complex,מסובך
1642,complication,סיבוך
1643,comply,להסכים לציית
1644,compromise,להתפשר
1645,concern,דאגה עניין
1646,condition,תנאי מצב מעמד
1647,condition,להכשיר להתאים
1648,conduct,לנהל לקיים
1649,confront,להתעמת לעמת
1650,confrontation,עימות
1651,consideration,התחשבות
1652,considering,מתחשב
1653,consistent,עקבי
1654,constant,קבוע רצוף
1655,constitute,להקים לייסד
1656,constitute,מהווים
1657,construct,לבנות
1658,consult,להתייעץ
1659,context,הקשר
1660,contract,ללקות להידבק (במחלה)
1661,contract,חוזה הסכם
1662,contract,להתכווץ
1663,contradiction,סתירה
1664,convoy,שיירה
1665,criteria,אמת מידה אבן בחן
1666,critic,מבקר
1667,criticize,לבקר
1668,declaration,הכרזה הצהרה
1669,declare,להכריז
1670,dedicate,להקדיש
1671,dedicated,מוקדש ל
1672,dedicated,מסור
1673,degenerate,להתנוון
1674,degree,דרגה
1675,degree,מעלה
1676,delay,עיכוב לאחר לדחות
1677,delight,תענוג
1678,design,תכנית דוגמה תרשים
1679,design,לתכנן לעצב
1680,designer,מעצב
1681,detect,לאתר לגלות
1682,determine,לקבוע
1683,determined,נחוש נחרץ
1684,develop,לפתח
1685,development,התפתחות פיתוח
1686,diagram,תרשים דיאגרמה
1687,dialect,ניב
1688,difference,הבדל
1689,differences,חילוקי דעות
1690,different,שונה
1691,differentiate,להבדיל להבחין
1692,diminish,לצמצם
1693,disaster,אסון
1694,disobey,להפר לא לציית
1695,dispose,להיפטר
1696,distance,מרחק
1697,drastic,דרסטי
1698,effective,יעיל אפקטיבי
1699,efficient,יעיל
1700,effort,מאמץ
1701,electricity,חשמל
1702,emotion,רגש
1703,enact,לחוקק
1704,episode,פרק
1705,ethnic,אתני
1706,excel,להצטיין
1707,excellent,מצוין
1708,exhausting,מתיש מעייף
1709,experience,ניסיון לחוות
1710,experiment,ניסוי להתנסות
1711,exploit,פעולות מעשים
1712,exploit,לנצל להפיק תועלת
1713,export,ייצוא
1714,extensive,נרחב
1715,facilitate,לסייע לעזור להקל
1716,fall apart,להתפרק
1717,fast,צום
1718,fast,מהיר
1719,fasten,להדק
1720,feminine,נשי
1721,fine,קנס
1722,fine,קטן עדין דקיק
1723,fine,משביע רצון
1724,fine,משובח מצוין
1725,fit,להתאים
1726,fit,בכושר
1727,flight,בריחה מנוסה
1728,flight,טיסה
1729,forceful,חזק
1730,forecast,תחזית
1731,foreign,חוץ
1732,foreign,זר נוכרי
1733,forfeit,לוותר להפסיד
1734,fortunate,בעל מזל
1735,fortune,מזל
1736,fortune,עושר
1737,frame,מסגרת למסגר
1738,fund,קרן
1739,fund,לממן
1740,fundamental,בסיסי (פונדמנטלי)
1741,fundraiser,מגייס כספים
1742,funds,כסף הון מקור מימון
1743,gap,פער
1744,generated,יצר
1745,generation,דור
1746,govern,למשול
1747,government,ממשל
1748,governor,מושל
1749,gratify,לרצות
1750,ground,בסיס אדמה
1751,grow,לגדול לגדל
1752,grow up,להתבגר לגדול
1753,guilty,אשם
1754,harsh,נוקשה אכזרי
1755,hollow,חלול
1756,hundred,מאה
1757,hunt,לצוד ציד
1758,hunter,צייד
1759,ignorance,בורות
1760,ignorant,בור חסר השכלה
1761,ignore,להתעלם
1762,illiterate,בור אנאלפבית
1763,impact,התנגשות
1764,impact,השפעה
1765,impatient,חסר סבלנות
1766,impress,להרשים
1767,impressive,מרשים
1768,inactivity,חוסר פעילות
1769,include,לכלול
1770,inclusive,כולל
1771,industrious,חרוץ שקדן
1772,infected,הודבק
1773,infection,זיהום
1774,innocent,תמים
1775,innocent,חף מפשע
1776,institute,מוסד מכון
1777,institute,לכונן
1778,instruction,הוראה הדרכה
1779,insurance,ביטוח
1780,insure,להבטיח
1781,investing,להשקיע
1782,investment,השקעה
1783,investor,משקיע
1784,irrigation,השקיה
1785,lapse,מעידה פליטת פה
1786,lapse,פרק זמן פקיעה סיום
1787,leather,עור
1788,lecture,הרצאה
1789,legislate,לחוקק
1790,legislation,חקיקה
1791,length,אורך
1792,lower,להנמיך
1793,lung,ריאה
1794,maintain,לשמר
1795,major,מסלול לימודים
1796,major,ראשי עיקרי
1797,major  ',סולם מז'ור (במוזיקה)
1798,majority,רוב
1799,male,זכר
1800,manage,לנהל
1801,management,ניהול
1802,manuscript,כתב יד
1803,marine,ימי
1804,maritime,ימי
1805,market,שוק
1806,marketing,שיווק לשווק
1807,mass,המון המוני
1808,mass,מסה
1809,material,חומר חומרני
1810,measure,למדוד
1811,measure,אמצעי
1812,merge,למזג לחבר
1813,merger,מיזוג
1814,message,הודעה
1815,method,שיטה
1816,mild,מתון עדין
1817,military,צבא צבאי
1818,minor,קטין
1819,minor,סולם מינור (במוזיקה)
1820,minor,קטן שולי
1821,minority,מיעוט
1822,misconception,דעה מוטעית
1823,mission,משימה
1824,mode,אופנה מודה
1825,mode,מצב אופן צורה
1826,model,דגם מודל דוגמן
1827,modest,צנוע
1828,modify,לשנות להתאים
1829,monumental,גדול אדיר
1830,negotiate,לשאת ולתת
1831,negotiation,משא ומתן
1832,nominated,מועמד
1833,nuclear,גרעיני
1834,observer,משקיף
1835,obsolete,מיושן
1836,occupy,לתפוס לאכלס
1837,occupy,להעסיק
1838,occurrence,התרחשות
1839,odd,מוזר
1840,odd,אי זוגי
1841,omission,השמטה הזנחה
1842,omit,להשמיט להזניח
1843,opinion,דעה
1844,opponent,יריב מתנגד
1845,opportunity,הזדמנות
1846,organic,אורגני
1847,overlaps,חופף
1848,own,משלו
1849,own,בעלות על משהו
1850,owner,בעלים
1851,paramount,בעל חשיבות עליונה
1852,pass,לוותר
1853,pass,להעביר למסור
1854,pedestrian,הולך רגל
1855,perhaps,אולי
1856,period,משך זמן מחזור
1857,period,תקופה
1858,period,נקודה
1859,permanent,קבוע
1860,persecution,רדיפה (דתית)
1861,planet,כוכב לכת
1862,plant,צמח עציץ לשתול
1863,poll,סקר הצבעה
1864,populous,מאוכלס בצפיפות
1865,post,לפרסם  פרסום
1866,post,לשלוח בדואר  דואר
1867,post,להציב למנות  עמדה משרה תפקיד
1868,post,עמוד
1869,postage,דבר דואר
1870,postpone,לדחות
1871,powerful,רב כוח
1872,preferable,עדיף
1873,presume,להניח
1874,priest,כומר
1875,privilege,זכות יתר פריביליגיה
1876,profit,רווח
1877,profitable,רווחי
1878,publication,הוצאה לאור
1879,publicized,פורסם
1880,publish,לפרסם להוציא לאור
1881,publisher,מוציא לאור
1882,qualify,להיות מוסמך
1883,quality,איכות
1884,quarter,רבע
1885,radiation,קרינה
1886,rare,נדיר
1887,rare,נא (בשר)
1888,raw,חי נא (בשר)
1889,raw,גולמי גס
1890,receive,לקבל
1891,recent,שארע לאחרונה
1892,recently,לאחרונה
1893,recognition,הכרה
1894,record,להקליט
1895,record,שיא
1896,record,רשומה
1897,record,לתעד
1898,recover,להתאושש
1899,recreate,לשחזר ליצור מחדש
1900,relax,להירגע
1901,reliance,הסתמכות
1902,remains,שרידים
1903,remains,נשאר עדיין
1904,remove,להסיר
1905,renew,לחדש
1906,renown,ידוע
1907,repair,לתקן
1908,replace,להחליף
1909,replacement,מחליף
1910,rescue,להציל
1911,resemble,דומה
1912,residence,מגורים
1913,resident,תושב קבע
1914,resource,משאב
1915,resourceful,בעל תושייה
1916,restrain,לרסן
1917,retain,להחזיק לשמור
1918,retrieve,להשיב
1919,revenue,הכנסה רווח
1920,route,מסלול דרך
1921,ruin,להרוס
1922,ruins,הריסות עיי חורבות
1923,sample,דוגמית
1924,satisfaction,שביעות רצון
1925,scatter,לפזר
1926,schedule,לוח זמנים
1927,sensitive,רגיש
1928,sensitivity,רגישות
1929,sentence,משפט
1930,sentence,גזר דין
1931,servant,משרת
1932,serve,להגיש לשרת
1933,serve,לשרת
1934,serve,ְלַרּצֹות (עונש)
1935,session,מושב
1936,sharp,חד
1937,sheer,מוחלט לחלוטין
1938,sheer,שקוף
1939,sheer,משופע תלול
1940,single,רווק
1941,single,יחיד
1942,skepticism,ספקנות
1943,skill,יכולת מיומנות
1944,sophisticated,מתוחכם
1945,spare,מיותר עודף
1946,specialize,להתמחות
1947,species,מין זן
1948,specify,לפרט
1949,spectator,צופה משקיף
1950,speech,דיבור
1951,spoil,לבזוז שלל
1952,spoil,להרוס
1953,spoil,לפנק
1954,spoil,לקלקל
1955,stack,ערמה
1956,staple,להדק
1957,station,תחנה
1958,station,להציב
1959,stem,גזע
1960,stomach,בטן קיבה
1961,strategy,אסטרטגיה
1962,subdue,להכניע
1963,submit,להגיש
1964,submit,להיכנע
1965,subtle,מעודן
1966,suitable,ראוי מתאים יאה
1967,superb,מעולה (איכותי)
1968,superficial,שטחי
1969,suppression,דיכוי
1970,sustain,סבל מ
1971,sustain,להמשיך באותה צורה
1972,sustain,לתמוך
1973,symbol,סמל
1974,symbolize,לסמל
1975,take place,התרחש
1976,temple,מקדש
1977,terms,תנאים
1978,terms,מונחים
1979,thousand,אלף
1980,tormented,לייסר לענות
1981,tour,סיור
1982,tourist,תייר
1983,trust,אמון לבטוח
1984,type,להקליד
1985,type,סוג
1986,typically,אופייני
1987,unbelievable,לא יאמן
1988,underlies,מונח ביסוד נמצא מתחת ל
1989,undertake,לקחת על עצמך
1990,unemployed,מובטל
1991,unexplored,לא נחקר לא נבדק
1992,unfamiliar,לא מוכר
1993,unfortunate,מצער
1994,unfortunately,למרבה הצער
1995,unimaginable,בלתי נתפס
1996,unique,מיוחד
1997,unite,לאחד
1998,unlock,לפתוח לשחרר
1999,unnecessary,לא הכרחי
2000,uprising,התקוממות מרד
2001,urban,עירוני
2002,urge,לעודד לדחוף  דחף רצון תשוקה
2003,urgent,דחוף
2004,vaccine,חיסון
2005,variable,משתנה
2006,variation,שינוי וריאציה
2007,variety,מבחר מגוון
2008,various,מגוון
2009,vast,גדול
2010,vertical,מאונך
2011,vigorously,במרץ
2012,violate,להפר לחלל
2013,violation,עבירה הפרה
2014,volunteer,להתנדב מתנדב
2015,vote,קול הצבעה להצביע
2016,wage,לערוך לנהל
2017,wage,משכורת
2018,ward,מחלקה
2019,wide,רחב
2020,willing,מוכן
2021,wise,חכם פיקח
2022,wish,משאלה לבקש
2023,withhold,לעכב לעצור לא לתת
2024,worldwide,כלל עולמי בכל העולם
2025,worse,גרוע יותר
2026,worthy,ראוי
2027,yield,להיכנע לוותר לסגת
2028,yield,להניב להפיק
2029,zone,אזור
2030,absurd,מגוחך לא סביר
2031,accelerate,להאיץ
2032,acclaim,להריע לשבח
2033,accommodate,לאכסן לשכן
2034,accompany,ללוות
2035,accustomed,מורגל
2036,aggressive,תוקפני אלים
2037,agriculture,חקלאות
2038,allergic,אלרגי
2039,amass,לצבור לערום
2040,amaze,להדהים
2041,appeal,לערער
2042,appeal,מדבר אל מושך
2043,appeal,לבקש
2044,applicant,מועמד
2045,arousing,מעורר
2046,as many as,רבים כמו (מספר גדול)
2047,ascertain,לוודא
2048,aspiration,שאיפה חלום
2049,audit,ביקורת
2050,award,פרס להעניק פרס
2051,bank,לערום
2052,bank,בנק
2053,bank,גדה
2054,betray,לבגוד
2055,blank,ריק רווח
2056,boost,דחף המריץ
2057,broadcast,לשדר
2058,cage,כלוב לכלוא
2059,cancer,סרטן (מחלה)
2060,capture,ללכוד
2061,cargo,מטען
2062,carve,לחרוט
2063,cemetery,בית קברות
2064,certify,להצהיר לאשר
2065,chapter,פרק
2066,church,כנסיה
2067,circulate,לנוע במחזוריות
2068,circulate,להפיץ
2069,colleague,עמית קולגה
2070,collect,לאסוף
2071,collide,להתנגש
2072,collision,התנגשות
2073,commendably,באופן ראוי לשבח
2074,commends,לציין לשבח
2075,commentary,פרשנות
2076,companion,בן זוג
2077,compatible,מתאים ראוי
2078,compel,לאלץ לחייב
2079,compensate,לפצות
2080,compile,לאסוף לקבץ
2081,conceal,להסתיר
2082,conceive,להרהר
2083,conceive,לעבר
2084,concerted,מתואם
2085,concur,להסכים
2086,concurrence,להתרחש בו זמנית
2087,condemned,לגנות
2088,condemned,נידון ל
2089,confess,להודות
2090,confession,וידוי
2091,confinement,מאסר ריתוק
2092,confiscate,להחרים
2093,conform,להתאים להסתגל
2094,confuse,לבלבל
2095,confusion,בלבול
2096,conquer,לכבוש
2097,conquest,כיבוש
2098,conscious,מודע
2099,conservation,שימור
2100,conservative,שמרני
2101,conserve,לשמר
2102,contend,להתמודד לטעון להיאבק
2103,content,שביעות רצון
2104,content,תוכן
2105,continent,יבשת
2106,contrast,להוות ניגוד
2107,contrast,ניגוד
2108,contribute,לתרום
2109,controversial,שנוי במחלוקת
2110,controversy,מחלוקת
2111,convene,לכנס
2112,conversation,שיחה
2113,convince,לשכנע
2114,coordination,קואורדינציה תיאום
2115,coordinator,מתאם
2116,correspond,להתכתב
2117,correspond,להתאים
2118,correspondence,התכתבות
2119,crack,סדק לסדוק
2120,crave,להשתוקק
2121,crime,פשע
2122,crude,וולגרי גס
2123,crude,גולמי
2124,cuisine,מטבח בישול
2125,curse,קללה לקלל
2126,darkness,חשיכה
2127,debate,ויכוח דיון
2128,deceased,נפטר
2129,deceive,להונות
2130,deliberate,מכוון
2131,deliberate,לשקול לבחון לדון
2132,deliberation,דיון
2133,delusions,אשליות הזיות
2134,denial,הכחשה
2135,depend on,תלוי ב
2136,describe,לתאר
2137,desolate,הרוס
2138,desolate,שומם נטוש
2139,destroy,להרוס
2140,destructive,הרסני
2141,detract,להפחית לגרוע
2142,deviant,סוטה
2143,device,מכשיר
2144,devise,לתכנן להמציא
2145,dictate,להכתיב לפקד
2146,disorder,הפרעה
2147,display,להציג
2148,disregard,להתעלם
2149,dissolve,להתמוסס
2150,distract,להסיח את הדעת
2151,district,מחוז
2152,divine,אלוהי
2153,divinity,אלוהות
2154,downhill,מדרון מורד
2155,ease,להקל קלּות
2156,easily,בקלות
2157,effect,תוצאה אפקט
2158,effect,רושם השפעה
2159,emblem,סמל
2160,encourage,לעודד
2161,engrave,לחרוט
2162,enhance,להעצים
2163,entirely,לחלוטין
2164,enzyme,אנזים
2165,equality,שוויון במידה שווה
2166,equates,להשוות להתאים
2167,evoke,לעורר להעלות
2168,evolutionary,התפתחותי
2169,evolved,התפתח
2170,excessively,בצורה מוגזמת
2171,exchange,להחליף חלופה
2172,exclude,למנוע לשלול להרחיק לגרש
2173,exclusive,בלעדי
2174,exclusively,באופן בלעדי רק
2175,excuse,לסלוח
2176,excuse,תירוץ
2177,explicit,מפורש ברור בוטה
2178,explore,לחקור ללמוד
2179,exposure,חשיפה
2180,exquisite,מצוין
2181,exquisite,חד מעודן אנין
2182,extend,להאריך להרחיב
2183,extension,שלוחה
2184,exterior,חיצוני
2185,external,חיצוני
2186,extinction,הכחדה
2187,extract,לתמצת להפיק
